# epoch  line-search objective  step  its  ok
364    0.33343672E+01    0.1000E+01    1   T
365    0.33134014E+01    0.1000E+01    1   T
366    0.32910925E+01    0.1000E+01    1   T
367    0.32748634E+01    0.1000E+01    1   T
368    0.32622826E+01    0.1000E+01    1   T
369    0.32510681E+01    0.1000E+01    1   T
370    0.32346098E+01    0.1000E+01    1   T
371    0.32162052E+01    0.1000E+01    1   T
372    0.32067183E+01    0.1000E+01    1   T
373    0.31967342E+01    0.1000E+01    1   T
374    0.31844166E+01    0.1000E+01    1   T
375    0.31654959E+01    0.1000E+01    1   T
376    0.31490815E+01    0.1000E+01    1   T
377    0.31323988E+01    0.1000E+01    1   T
378    0.31206383E+01    0.1000E+01    1   T
379    0.30978184E+01    0.1000E+01    1   T
380    0.30810889E+01    0.1000E+01    1   T
381    0.30633998E+01    0.1000E+01    1   T
382    0.30524497E+01    0.1000E+01    1   T
383    0.30406407E+01    0.1000E+01    1   T
384    0.30360493E+01    0.1000E+01    1   T
385    0.30225426E+01    0.1000E+01    1   T
386    0.30084161E+01    0.1000E+01    1   T
387    0.29853058E+01    0.1000E+01    1   T
388    0.29632002E+01    0.1000E+01    1   T
389    0.29441684E+01    0.1000E+01    1   T
390    0.29227648E+01    0.1000E+01    1   T
391    0.29183147E+01    0.1000E+01    1   T
392    0.29057243E+01    0.1000E+01    1   T
393    0.28989971E+01    0.1000E+01    1   T
394    0.28913347E+01    0.1000E+01    1   T
395    0.28822215E+01    0.1000E+01    1   T
396    0.28713635E+01    0.1000E+01    1   T
397    0.28605714E+01    0.1000E+01    1   T
398    0.28446599E+01    0.1000E+01    1   T
399    0.28321198E+01    0.1000E+01    1   T
400    0.28280459E+01    0.1000E+01    1   T
401    0.28098637E+01    0.1000E+01    1   T
402    0.28051573E+01    0.1000E+01    1   T
403    0.27946665E+01    0.1000E+01    1   T
404    0.27861979E+01    0.1000E+01    1   T
405    0.27703760E+01    0.1000E+01    1   T
406    0.27610072E+01    0.1000E+01    1   T
407    0.27468690E+01    0.1000E+01    1   T
408    0.27367561E+01    0.1000E+01    1   T
409    0.27227575E+01    0.1000E+01    1   T
410    0.27112362E+01    0.1000E+01    1   T
411    0.26986200E+01    0.1000E+01    1   T
412    0.26807220E+01    0.1000E+01    1   T
413    0.26667152E+01    0.1000E+01    1   T
414    0.26565669E+01    0.1000E+01    1   T
415    0.26480483E+01    0.1000E+01    1   T
416    0.26386810E+01    0.1000E+01    1   T
417    0.26222977E+01    0.1000E+01    1   T
418    0.26108789E+01    0.1000E+01    1   T
419    0.26027876E+01    0.1000E+01    1   T
420    0.25937953E+01    0.1000E+01    1   T
421    0.25851561E+01    0.1000E+01    1   T
422    0.25755087E+01    0.1000E+01    1   T
423    0.25688410E+01    0.1000E+01    1   T
424    0.25607248E+01    0.1000E+01    1   T
425    0.25524638E+01    0.1000E+01    1   T
426    0.25433696E+01    0.1000E+01    1   T
427    0.25342090E+01    0.1000E+01    1   T
428    0.25206690E+01    0.1000E+01    1   T
429    0.25099323E+01    0.1000E+01    1   T
430    0.24959683E+01    0.1000E+01    1   T
431    0.24839534E+01    0.1000E+01    1   T
432    0.24738912E+01    0.1000E+01    1   T
433    0.24643458E+01    0.1000E+01    1   T
434    0.24562875E+01    0.1000E+01    1   T
435    0.24438939E+01    0.1000E+01    1   T
436    0.24354441E+01    0.1000E+01    1   T
437    0.24224710E+01    0.1000E+01    1   T
438    0.24046310E+01    0.1000E+01    1   T
439    0.23993481E+01    0.5000E+00    2   T
440    0.23860576E+01    0.1000E+01    1   T
441    0.23813092E+01    0.1000E+01    1   T
442    0.23730053E+01    0.1000E+01    1   T
443    0.23624505E+01    0.1000E+01    1   T
444    0.23516164E+01    0.1000E+01    1   T
445    0.23402052E+01    0.1000E+01    1   T
446    0.23288435E+01    0.1000E+01    1   T
447    0.23205480E+01    0.1000E+01    1   T
448    0.23106307E+01    0.1000E+01    1   T
449    0.23049538E+01    0.1000E+01    1   T
450    0.22989914E+01    0.1000E+01    1   T
451    0.22887710E+01    0.1000E+01    1   T
452    0.22767659E+01    0.1000E+01    1   T
453    0.22619960E+01    0.1000E+01    1   T
454    0.22535073E+01    0.1000E+01    1   T
455    0.22440562E+01    0.1000E+01    1   T
456    0.22367955E+01    0.1000E+01    1   T
457    0.22283555E+01    0.1000E+01    1   T
458    0.22169109E+01    0.1000E+01    1   T
459    0.22116698E+01    0.1000E+01    1   T
460    0.22070384E+01    0.1000E+01    1   T
461    0.21941572E+01    0.1000E+01    1   T
462    0.21853604E+01    0.1000E+01    1   T
463    0.21832612E+01    0.1000E+01    1   T
464    0.21679135E+01    0.1000E+01    1   T
465    0.21627400E+01    0.1000E+01    1   T
466    0.21536632E+01    0.1000E+01    1   T
467    0.21402212E+01    0.1000E+01    1   T
468    0.21281943E+01    0.1000E+01    1   T
469    0.21190631E+01    0.1000E+01    1   T
470    0.21123696E+01    0.1000E+01    1   T
471    0.21029247E+01    0.1000E+01    1   T
472    0.20956073E+01    0.1000E+01    1   T
473    0.20828613E+01    0.1000E+01    1   T
474    0.20785757E+01    0.1000E+01    1   T
475    0.20699912E+01    0.1000E+01    1   T
476    0.20598183E+01    0.1000E+01    1   T
477    0.20466513E+01    0.1000E+01    1   T
478    0.20371816E+01    0.1000E+01    1   T
479    0.20279774E+01    0.1000E+01    1   T
480    0.20189784E+01    0.1000E+01    1   T
481    0.20092337E+01    0.1000E+01    1   T
482    0.19998496E+01    0.1000E+01    1   T
483    0.19875756E+01    0.1000E+01    1   T
484    0.19794119E+01    0.1000E+01    1   T
485    0.19596227E+01    0.1000E+01    1   T
486    0.19417803E+01    0.1000E+01    1   T
487    0.19295125E+01    0.1000E+01    1   T
488    0.19190190E+01    0.1000E+01    1   T
489    0.19145672E+01    0.1000E+01    1   T
490    0.19067210E+01    0.1000E+01    1   T
491    0.19041900E+01    0.1000E+01    1   T
492    0.18913533E+01    0.1000E+01    1   T
493    0.18867139E+01    0.1000E+01    1   T
494    0.18794161E+01    0.1000E+01    1   T
495    0.18696795E+01    0.1000E+01    1   T
496    0.18651742E+01    0.1000E+01    1   T
497    0.18553063E+01    0.1000E+01    1   T
498    0.18515645E+01    0.1000E+01    1   T
499    0.18473054E+01    0.1000E+01    1   T
500    0.18390523E+01    0.1000E+01    1   T
501    0.18357814E+01    0.1000E+01    1   T
502    0.18248980E+01    0.1000E+01    1   T
503    0.18210493E+01    0.1000E+01    1   T
504    0.18108771E+01    0.1000E+01    1   T
505    0.17995099E+01    0.1000E+01    1   T
506    0.17889425E+01    0.1000E+01    1   T
507    0.17817320E+01    0.1000E+01    1   T
508    0.17759056E+01    0.1000E+01    1   T
509    0.17697016E+01    0.1000E+01    1   T
510    0.17593895E+01    0.1000E+01    1   T
511    0.17541442E+01    0.1000E+01    1   T
512    0.17483952E+01    0.1000E+01    1   T
513    0.17437908E+01    0.1000E+01    1   T
514    0.17385309E+01    0.1000E+01    1   T
515    0.17303060E+01    0.1000E+01    1   T
516    0.17214832E+01    0.1000E+01    1   T
517    0.17156646E+01    0.1000E+01    1   T
518    0.17057077E+01    0.1000E+01    1   T
519    0.16977229E+01    0.1000E+01    1   T
520    0.16902894E+01    0.1000E+01    1   T
521    0.16839852E+01    0.1000E+01    1   T
522    0.16805553E+01    0.1000E+01    1   T
523    0.16760801E+01    0.1000E+01    1   T
524    0.16695182E+01    0.1000E+01    1   T
525    0.16619921E+01    0.1000E+01    1   T
526    0.16569122E+01    0.1000E+01    1   T
527    0.16529548E+01    0.1000E+01    1   T
528    0.16483768E+01    0.1000E+01    1   T
529    0.16439678E+01    0.1000E+01    1   T
530    0.16401236E+01    0.1000E+01    1   T
531    0.16370333E+01    0.1000E+01    1   T
532    0.16317569E+01    0.1000E+01    1   T
533    0.16264453E+01    0.1000E+01    1   T
534    0.16222487E+01    0.1000E+01    1   T
535    0.16190095E+01    0.1000E+01    1   T
536    0.16142855E+01    0.1000E+01    1   T
537    0.16058822E+01    0.1000E+01    1   T
538    0.15984088E+01    0.1000E+01    1   T
539    0.15927784E+01    0.1000E+01    1   T
540    0.15883631E+01    0.1000E+01    1   T
541    0.15854660E+01    0.1000E+01    1   T
542    0.15806579E+01    0.1000E+01    1   T
543    0.15751990E+01    0.1000E+01    1   T
544    0.15691117E+01    0.1000E+01    1   T
545    0.15653595E+01    0.1000E+01    1   T
546    0.15604804E+01    0.1000E+01    1   T
547    0.15545760E+01    0.1000E+01    1   T
548    0.15510729E+01    0.1000E+01    1   T
549    0.15447338E+01    0.1000E+01    1   T
550    0.15428199E+01    0.1000E+01    1   T
551    0.15378095E+01    0.1000E+01    1   T
552    0.15302123E+01    0.1000E+01    1   T
553    0.15286435E+01    0.1000E+01    1   T
554    0.15197725E+01    0.1000E+01    1   T
555    0.15169238E+01    0.1000E+01    1   T
556    0.15130387E+01    0.1000E+01    1   T
557    0.15066105E+01    0.1000E+01    1   T
558    0.15047346E+01    0.1000E+01    1   T
559    0.14925239E+01    0.1000E+01    1   T
560    0.14882421E+01    0.1000E+01    1   T
561    0.14809080E+01    0.1000E+01    1   T
562    0.14758994E+01    0.1000E+01    1   T
563    0.14683144E+01    0.1000E+01    1   T
564    0.14615000E+01    0.1000E+01    1   T
565    0.14548168E+01    0.1000E+01    1   T
566    0.14532537E+01    0.1000E+01    1   T
567    0.14433322E+01    0.1000E+01    1   T
568    0.14394335E+01    0.1000E+01    1   T
569    0.14356371E+01    0.1000E+01    1   T
570    0.14307220E+01    0.1000E+01    1   T
571    0.14266947E+01    0.1000E+01    1   T
572    0.14180653E+01    0.1000E+01    1   T
573    0.14149767E+01    0.1000E+01    1   T
574    0.14064097E+01    0.1000E+01    1   T
575    0.14039672E+01    0.5000E+00    2   T
576    0.14000304E+01    0.1000E+01    1   T
577    0.13980265E+01    0.1000E+01    1   T
578    0.13938551E+01    0.1000E+01    1   T
